Date,Open,High,Low,Close,Currency
2018-12-19,6.925,6.935,6.915,6.925,BOB
2018-12-20,6.925,6.935,6.925,6.925,BOB
2018-12-21,6.925,6.935,6.915,6.935,BOB
2018-12-24,6.935,6.935,6.915,6.925,BOB
2018-12-25,6.925,6.925,6.925,6.925,BOB
2018-12-26,6.925,6.935,6.925,6.925,BOB
2018-12-27,6.925,6.935,6.925,6.925,BOB
2018-12-28,6.925,6.935,6.915,6.925,BOB
2018-12-31,6.925,6.935,6.925,6.935,BOB
2019-01-01,6.935,6.935,6.935,6.935,BOB
2019-01-02,6.935,6.935,6.915,6.935,BOB
2019-01-03,6.935,6.935,6.915,6.935,BOB
2019-01-04,6.935,6.935,6.925,6.925,BOB
2019-01-07,6.925,6.935,6.915,6.925,BOB
2019-01-08,6.925,6.935,6.925,6.925,BOB
2019-01-09,6.925,6.935,6.915,6.925,BOB
2019-01-10,6.925,6.935,6.915,6.925,BOB
2019-01-11,6.925,6.935,6.915,6.925,BOB
2019-01-14,6.925,6.935,6.915,6.915,BOB
2019-01-15,6.915,6.915,6.905,6.915,BOB
2019-01-16,6.905,6.925,6.905,6.925,BOB
2019-01-17,6.92,6.93,6.91,6.91,BOB
2019-01-18,6.925,6.935,6.915,6.925,BOB
2019-01-21,6.925,6.935,6.925,6.935,BOB
2019-01-22,6.935,6.935,6.915,6.925,BOB
2019-01-23,6.925,6.935,6.915,6.925,BOB
2019-01-24,6.925,6.935,6.915,6.925,BOB
2019-01-25,6.925,6.935,6.915,6.925,BOB
2019-01-28,6.925,6.935,6.925,6.935,BOB
2019-01-29,6.935,6.935,6.925,6.925,BOB
2019-01-30,6.925,6.93,6.9,6.925,BOB
2019-01-31,6.925,6.93,6.9,6.925,BOB
2019-02-01,6.925,6.93,6.905,6.925,BOB
2019-02-04,6.925,6.935,6.905,6.925,BOB
2019-02-05,6.925,6.935,6.9,6.935,BOB
2019-02-06,6.935,6.935,6.905,6.93,BOB
2019-02-07,6.935,6.935,6.88,6.925,BOB
2019-02-08,6.925,6.935,6.9,6.915,BOB
2019-02-11,6.925,6.935,6.9,6.925,BOB
2019-02-12,6.925,6.935,6.905,6.925,BOB
2019-02-13,6.925,6.93,6.905,6.925,BOB
2019-02-14,6.925,6.935,6.9,6.925,BOB
2019-02-15,6.925,6.93,6.905,6.925,BOB
2019-02-18,6.925,6.935,6.905,6.935,BOB
2019-02-19,6.935,6.935,6.905,6.935,BOB
2019-02-20,6.925,6.935,6.905,6.935,BOB
2019-02-21,6.935,6.935,6.905,6.935,BOB
2019-02-22,6.935,6.935,6.905,6.935,BOB
2019-02-25,6.935,6.935,6.905,6.935,BOB
2019-02-26,6.935,6.935,6.905,6.925,BOB
2019-02-27,6.935,6.935,6.9,6.935,BOB
2019-02-28,6.935,6.935,6.905,6.93,BOB
2019-03-01,6.935,6.935,6.905,6.915,BOB
2019-03-04,6.925,6.935,6.875,6.925,BOB
2019-03-05,6.925,6.935,6.915,6.935,BOB
2019-03-06,6.935,6.935,6.905,6.93,BOB
2019-03-07,6.935,6.935,6.9,6.935,BOB
2019-03-08,6.935,6.935,6.905,6.925,BOB
2019-03-11,6.925,6.93,6.875,6.925,BOB
2019-03-12,6.925,6.935,6.9,6.925,BOB
2019-03-13,6.925,6.93,6.9,6.915,BOB
2019-03-14,6.925,6.93,6.9,6.925,BOB
2019-03-15,6.925,6.93,6.9,6.915,BOB
2019-03-18,6.915,6.925,6.875,6.925,BOB
2019-03-19,6.925,6.93,6.9,6.925,BOB
2019-03-20,6.925,6.935,6.9,6.935,BOB
2019-03-21,6.935,6.935,6.9,6.925,BOB
2019-03-22,6.925,6.93,6.9,6.925,BOB
2019-03-25,6.925,6.93,6.875,6.925,BOB
2019-03-26,6.925,6.93,6.9,6.925,BOB
2019-03-27,6.925,6.93,6.9,6.925,BOB
2019-03-28,6.925,6.935,6.9,6.935,BOB
2019-03-29,6.935,6.935,6.905,6.935,BOB
2019-04-01,6.935,6.935,6.905,6.935,BOB
2019-04-02,6.935,6.935,6.905,6.935,BOB
2019-04-03,6.935,6.935,6.905,6.925,BOB
2019-04-04,6.925,6.93,6.9,6.925,BOB
2019-04-05,6.925,6.935,6.905,6.935,BOB
2019-04-08,6.935,6.935,6.9,6.925,BOB
2019-04-09,6.925,6.93,6.9,6.925,BOB
2019-04-10,6.925,6.93,6.905,6.925,BOB
2019-04-11,6.925,6.935,6.905,6.925,BOB
2019-04-12,6.925,6.93,6.905,6.925,BOB
2019-04-15,6.925,6.935,6.905,6.925,BOB
2019-04-16,6.925,6.93,6.905,6.925,BOB
2019-04-17,6.925,6.935,6.905,6.91,BOB
2019-04-18,6.935,6.935,6.9,6.935,BOB
2019-04-19,6.935,6.935,6.9,6.925,BOB
2019-04-22,6.925,6.93,6.905,6.925,BOB
2019-04-23,6.925,6.935,6.9,6.925,BOB
2019-04-24,6.925,6.93,6.9,6.925,BOB
2019-04-25,6.925,6.93,6.9,6.925,BOB
2019-04-26,6.925,6.935,6.905,6.925,BOB
2019-04-29,6.925,6.93,6.9,6.925,BOB
2019-04-30,6.925,6.935,6.905,6.93,BOB
2019-05-01,6.935,6.935,6.925,6.935,BOB
2019-05-02,6.935,6.935,6.905,6.925,BOB
2019-05-03,6.925,6.93,6.905,6.925,BOB
2019-05-06,6.925,6.935,6.905,6.925,BOB
2019-05-07,6.925,6.935,6.905,6.935,BOB
2019-05-08,6.935,6.935,6.9,6.925,BOB
2019-05-09,6.925,6.93,6.9,6.925,BOB
2019-05-10,6.925,6.93,6.9,6.925,BOB
2019-05-13,6.91,6.93,6.9,6.925,BOB
2019-05-14,6.925,6.93,6.9,6.925,BOB
2019-05-15,6.925,6.93,6.9,6.925,BOB
2019-05-16,6.925,6.93,6.9,6.925,BOB
2019-05-17,6.925,6.93,6.9,6.925,BOB
2019-05-20,6.925,6.93,6.905,6.925,BOB
2019-05-21,6.925,6.935,6.905,6.935,BOB
2019-05-22,6.935,6.935,6.9,6.925,BOB
2019-05-23,6.925,6.93,6.9,6.925,BOB
2019-05-24,6.925,6.93,6.9,6.915,BOB
2019-05-27,6.915,6.925,6.915,6.925,BOB
2019-05-28,6.925,6.93,6.9,6.925,BOB
2019-05-29,6.925,6.93,6.9,6.925,BOB
2019-05-30,6.925,6.93,6.9,6.925,BOB
2019-05-31,6.925,6.93,6.9,6.915,BOB
2019-06-03,6.925,6.935,6.905,6.935,BOB
2019-06-04,6.935,6.935,6.9,6.925,BOB
2019-06-05,6.925,6.93,6.9,6.925,BOB
2019-06-06,6.925,6.93,6.9,6.925,BOB
2019-06-07,6.925,6.93,6.9,6.925,BOB
2019-06-10,6.925,6.93,6.9,6.925,BOB
2019-06-11,6.925,6.93,6.9,6.925,BOB
2019-06-12,6.925,6.93,6.9,6.925,BOB
2019-06-13,6.925,6.93,6.9,6.925,BOB
2019-06-14,6.925,6.93,6.9,6.925,BOB
2019-06-17,6.925,6.93,6.905,6.925,BOB
2019-06-18,6.925,6.93,6.9,6.925,BOB
2019-06-19,6.925,6.93,6.9,6.925,BOB
2019-06-20,6.925,6.925,6.91,6.925,BOB
2019-06-21,6.925,6.925,6.91,6.915,BOB
2019-06-24,6.915,6.925,6.91,6.925,BOB
2019-06-25,6.925,6.93,6.9,6.925,BOB
2019-06-26,6.925,6.935,6.9,6.935,BOB
2019-06-27,6.935,6.935,6.9,6.925,BOB
2019-06-28,6.925,6.935,6.9,6.925,BOB
2019-07-01,6.925,6.93,6.9,6.925,BOB
2019-07-02,6.925,6.93,6.9,6.915,BOB
2019-07-03,6.915,6.93,6.91,6.925,BOB
2019-07-04,6.925,6.93,6.905,6.925,BOB
2019-07-05,6.925,6.93,6.905,6.925,BOB
2019-07-08,6.925,6.93,6.905,6.925,BOB
2019-07-09,6.925,6.935,6.905,6.935,BOB
2019-07-10,6.935,6.935,6.905,6.925,BOB
2019-07-11,6.925,6.935,6.905,6.935,BOB
2019-07-12,6.935,6.935,6.905,6.935,BOB
2019-07-15,6.935,6.935,6.9,6.925,BOB
2019-07-16,6.925,6.93,6.9,6.925,BOB
2019-07-17,6.925,6.93,6.9,6.925,BOB
2019-07-18,6.925,6.935,6.905,6.935,BOB
2019-07-19,6.935,6.935,6.9,6.915,BOB
2019-07-22,6.915,6.92,6.91,6.915,BOB
2019-07-23,6.915,6.925,6.91,6.925,BOB
2019-07-24,6.925,6.935,6.9,6.925,BOB
2019-07-25,6.925,6.93,6.9,6.925,BOB
2019-07-26,6.925,6.93,6.895,6.915,BOB
2019-07-29,6.915,6.92,6.9,6.91,BOB
2019-07-30,6.915,6.925,6.91,6.91,BOB
2019-07-31,6.915,6.92,6.905,6.915,BOB
2019-08-01,6.915,6.925,6.905,6.925,BOB
2019-08-02,6.925,6.93,6.9,6.925,BOB
2019-08-05,6.925,6.93,6.9,6.92,BOB
2019-08-06,6.925,6.925,6.895,6.915,BOB
2019-08-07,6.915,6.925,6.915,6.915,BOB
2019-08-08,6.915,6.925,6.895,6.925,BOB
2019-08-09,6.925,6.93,6.9,6.915,BOB
2019-08-12,6.915,6.925,6.915,6.915,BOB
2019-08-13,6.915,6.925,6.915,6.92,BOB
2019-08-14,6.925,6.93,6.9,6.925,BOB
2019-08-15,6.925,6.93,6.9,6.925,BOB
2019-08-16,6.925,6.93,6.9,6.925,BOB
2019-08-19,6.925,6.93,6.9,6.925,BOB
2019-08-20,6.925,6.93,6.9,6.925,BOB
2019-08-21,6.915,6.92,6.9,6.915,BOB
2019-08-22,6.915,6.92,6.9,6.915,BOB
2019-08-23,6.915,6.925,6.9,6.925,BOB
2019-08-26,6.925,6.935,6.9,6.935,BOB
2019-08-27,6.935,6.935,6.91,6.935,BOB
2019-08-28,6.935,6.935,6.91,6.935,BOB
2019-08-29,6.935,6.935,6.905,6.935,BOB
2019-08-30,6.935,6.935,6.905,6.935,BOB
2019-09-02,6.935,6.935,6.91,6.935,BOB
2019-09-03,6.935,6.935,6.905,6.935,BOB
2019-09-04,6.935,6.935,6.91,6.935,BOB
2019-09-05,6.925,6.93,6.9,6.915,BOB
2019-09-06,6.915,6.92,6.91,6.915,BOB
2019-09-09,6.915,6.925,6.915,6.925,BOB
2019-09-10,6.925,6.935,6.9,6.935,BOB
2019-09-11,6.935,6.935,6.9,6.935,BOB
2019-09-12,6.935,6.935,6.9,6.925,BOB
2019-09-13,6.925,6.93,6.9,6.925,BOB
2019-09-16,6.925,6.93,6.9,6.91,BOB
2019-09-17,6.925,6.93,6.9,6.925,BOB
2019-09-18,6.925,6.93,6.9,6.915,BOB
2019-09-19,6.915,6.92,6.91,6.915,BOB
2019-09-20,6.915,6.925,6.905,6.925,BOB
2019-09-23,6.925,6.93,6.9,6.915,BOB
2019-09-24,6.915,6.925,6.905,6.925,BOB
2019-09-25,6.925,6.93,6.895,6.915,BOB
2019-09-26,6.915,6.925,6.91,6.915,BOB
2019-09-27,6.915,6.915,6.905,6.915,BOB
2019-09-30,6.915,6.915,6.905,6.915,BOB
2019-10-01,6.915,6.92,6.905,6.915,BOB
2019-10-02,6.915,6.92,6.915,6.915,BOB
2019-10-03,6.915,6.915,6.905,6.915,BOB
2019-10-04,6.915,6.915,6.905,6.915,BOB
2019-10-07,6.915,6.915,6.905,6.915,BOB
2019-10-08,6.915,6.915,6.905,6.915,BOB
2019-10-09,6.915,6.92,6.905,6.915,BOB
2019-10-10,6.915,6.92,6.91,6.915,BOB
2019-10-11,6.915,6.92,6.905,6.915,BOB
2019-10-14,6.915,6.915,6.915,6.915,BOB
2019-10-15,6.915,6.925,6.905,6.915,BOB
2019-10-16,6.915,6.925,6.91,6.915,BOB
2019-10-17,6.915,6.925,6.905,6.915,BOB
2019-10-18,6.915,6.925,6.91,6.915,BOB
2019-10-21,6.915,6.92,6.905,6.915,BOB
2019-10-22,6.915,6.915,6.905,6.915,BOB
2019-10-23,6.915,6.92,6.905,6.915,BOB
2019-10-24,6.915,6.92,6.905,6.915,BOB
2019-10-25,6.915,6.92,6.905,6.915,BOB
2019-10-28,6.915,6.925,6.9,6.915,BOB
2019-10-29,6.915,6.915,6.905,6.915,BOB
2019-10-30,6.915,6.915,6.905,6.915,BOB
2019-10-31,6.915,6.915,6.915,6.915,BOB
2019-11-01,6.915,6.915,6.915,6.915,BOB
2019-11-04,6.915,6.915,6.905,6.915,BOB
2019-11-05,6.915,6.915,6.905,6.915,BOB
2019-11-06,6.915,6.915,6.905,6.915,BOB
2019-11-07,6.905,6.915,6.905,6.915,BOB
2019-11-08,6.915,6.915,6.905,6.915,BOB
2019-11-11,6.915,6.915,6.905,6.915,BOB
2019-11-12,6.915,6.915,6.905,6.915,BOB
2019-11-13,6.915,6.92,6.91,6.915,BOB
2019-11-14,6.915,6.915,6.905,6.915,BOB
2019-11-15,6.915,6.915,6.905,6.915,BOB
2019-11-18,6.915,6.915,6.91,6.915,BOB
2019-11-19,6.915,6.915,6.905,6.915,BOB
2019-11-20,6.915,6.915,6.905,6.915,BOB
2019-11-21,6.915,6.915,6.905,6.915,BOB
2019-11-22,6.915,6.915,6.905,6.915,BOB
2019-11-25,6.915,6.915,6.905,6.915,BOB
2019-11-26,6.915,6.915,6.905,6.915,BOB
2019-11-27,6.915,6.915,6.905,6.915,BOB
2019-11-28,6.915,6.915,6.915,6.915,BOB
2019-11-29,6.915,6.915,6.905,6.915,BOB
2019-12-02,6.915,6.915,6.905,6.915,BOB
2019-12-03,6.91,6.915,6.905,6.915,BOB
2019-12-04,6.915,6.915,6.91,6.915,BOB
2019-12-05,6.915,6.915,6.905,6.915,BOB
2019-12-06,6.915,6.915,6.91,6.915,BOB
2019-12-09,6.915,6.915,6.905,6.915,BOB
2019-12-10,6.915,6.915,6.91,6.915,BOB
2019-12-11,6.915,6.915,6.91,6.915,BOB
2019-12-12,6.915,6.915,6.91,6.915,BOB
2019-12-13,6.915,6.915,6.91,6.915,BOB
2019-12-16,6.915,6.915,6.91,6.915,BOB
2019-12-17,6.915,6.915,6.91,6.915,BOB
2019-12-18,6.915,6.915,6.91,6.915,BOB
2019-12-19,6.915,6.915,6.91,6.915,BOB
2019-12-20,6.915,6.915,6.905,6.915,BOB
2019-12-23,6.915,6.915,6.895,6.915,BOB
2019-12-24,6.915,6.915,6.91,6.915,BOB
2019-12-25,6.915,6.915,6.915,6.915,BOB
2019-12-26,6.915,6.915,6.905,6.905,BOB
2019-12-27,6.905,6.91,6.905,6.905,BOB
2019-12-30,6.905,6.91,6.905,6.905,BOB
2019-12-31,6.905,6.91,6.905,6.905,BOB
2020-01-01,6.905,6.905,6.905,6.905,BOB
2020-01-02,6.905,6.915,6.905,6.915,BOB
2020-01-03,6.915,6.915,6.905,6.91,BOB
2020-01-06,6.915,6.915,6.91,6.915,BOB
2020-01-07,6.915,6.915,6.91,6.915,BOB
2020-01-08,6.915,6.915,6.91,6.915,BOB
2020-01-09,6.915,6.915,6.91,6.915,BOB
2020-01-10,6.915,6.915,6.91,6.915,BOB
2020-01-13,6.915,6.915,6.91,6.915,BOB
2020-01-14,6.915,6.915,6.905,6.915,BOB
2020-01-15,6.91,6.915,6.905,6.915,BOB
2020-01-16,6.915,6.915,6.905,6.915,BOB
2020-01-17,6.915,6.915,6.915,6.915,BOB
2020-01-20,6.925,6.925,6.905,6.915,BOB
2020-01-21,6.915,6.915,6.905,6.915,BOB
2020-01-22,6.915,6.915,6.905,6.915,BOB
2020-01-23,6.915,6.915,6.905,6.915,BOB
2020-01-24,6.915,6.915,6.905,6.915,BOB
2020-01-27,6.915,6.915,6.915,6.915,BOB
2020-01-28,6.915,6.915,6.915,6.915,BOB
2020-01-29,6.91,6.92,6.905,6.91,BOB
2020-01-30,6.915,6.925,6.91,6.925,BOB
2020-01-31,6.925,6.925,6.905,6.915,BOB
2020-02-03,6.915,6.915,6.915,6.915,BOB
2020-02-04,6.915,6.915,6.905,6.915,BOB
2020-02-05,6.915,6.915,6.915,6.915,BOB
2020-02-06,6.915,6.915,6.915,6.915,BOB
2020-02-07,6.915,6.915,6.915,6.915,BOB
2020-02-10,6.915,6.925,6.915,6.915,BOB
2020-02-11,6.915,6.915,6.915,6.915,BOB
2020-02-12,6.915,6.915,6.9,6.905,BOB
2020-02-13,6.905,6.915,6.9,6.915,BOB
2020-02-14,6.915,6.915,6.915,6.915,BOB
2020-02-17,6.915,6.915,6.915,6.915,BOB
2020-02-18,6.915,6.915,6.915,6.915,BOB
2020-02-19,6.915,6.915,6.915,6.915,BOB
2020-02-20,6.915,6.915,6.915,6.915,BOB
2020-02-21,6.915,6.915,6.915,6.915,BOB
2020-02-24,6.915,6.915,6.915,6.915,BOB
2020-02-25,6.915,6.915,6.915,6.915,BOB
2020-02-26,6.915,6.92,6.91,6.915,BOB
2020-02-27,6.915,6.915,6.915,6.915,BOB
2020-02-28,6.915,6.915,6.9,6.915,BOB
2020-03-02,6.915,6.915,6.905,6.905,BOB
2020-03-03,6.905,6.905,6.905,6.905,BOB
2020-03-04,6.905,6.905,6.905,6.905,BOB
2020-03-05,6.905,6.91,6.89,6.895,BOB
2020-03-06,6.895,6.905,6.89,6.895,BOB
2020-03-09,6.895,6.9,6.87,6.875,BOB
2020-03-10,6.875,6.88,6.875,6.875,BOB
2020-03-11,6.875,6.895,6.875,6.875,BOB
2020-03-12,6.875,6.88,6.875,6.875,BOB
2020-03-13,6.875,6.88,6.875,6.875,BOB
2020-03-16,6.875,6.88,6.875,6.875,BOB
2020-03-17,6.875,6.885,6.875,6.885,BOB
2020-03-18,6.885,6.885,6.885,6.885,BOB
2020-03-19,6.89,6.91,6.885,6.91,BOB
2020-03-20,6.9,6.9,6.885,6.885,BOB
2020-03-23,6.885,6.885,6.87,6.885,BOB
2020-03-24,6.885,6.885,6.875,6.88,BOB
2020-03-25,6.875,6.885,6.875,6.885,BOB
2020-03-26,6.885,6.895,6.885,6.89,BOB
2020-03-27,6.885,6.895,6.885,6.895,BOB
2020-03-30,6.895,6.905,6.885,6.895,BOB
2020-03-31,6.895,6.915,6.885,6.895,BOB
2020-04-01,6.895,6.895,6.895,6.895,BOB
2020-04-02,6.895,6.895,6.895,6.895,BOB
2020-04-03,6.895,6.895,6.895,6.895,BOB
2020-04-06,6.895,6.905,6.895,6.895,BOB
2020-04-07,6.895,6.905,6.885,6.895,BOB
2020-04-08,6.895,6.905,6.885,6.895,BOB
2020-04-09,6.895,6.895,6.885,6.895,BOB
2020-04-10,6.895,6.895,6.885,6.885,BOB
2020-04-13,6.885,6.895,6.885,6.895,BOB
2020-04-14,6.895,6.905,6.885,6.885,BOB
2020-04-15,6.885,6.905,6.885,6.905,BOB
2020-04-16,6.905,6.915,6.895,6.9,BOB
2020-04-17,6.895,6.915,6.895,6.895,BOB
2020-04-20,6.895,6.905,6.895,6.895,BOB
2020-04-21,6.895,6.905,6.895,6.895,BOB
2020-04-22,6.895,6.905,6.895,6.895,BOB
2020-04-23,6.895,6.915,6.895,6.905,BOB
2020-04-24,6.905,6.915,6.895,6.905,BOB
2020-04-27,6.895,6.925,6.895,6.92,BOB
2020-04-28,6.915,6.915,6.895,6.915,BOB
2020-04-29,6.905,6.915,6.895,6.905,BOB
2020-04-30,6.895,6.92,6.895,6.895,BOB
2020-05-01,6.895,6.905,6.895,6.895,BOB
2020-05-04,6.895,6.905,6.895,6.9,BOB
2020-05-05,6.895,6.905,6.895,6.895,BOB
2020-05-06,6.895,6.905,6.895,6.9,BOB
2020-05-07,6.895,6.905,6.895,6.895,BOB
2020-05-08,6.895,6.905,6.895,6.895,BOB
2020-05-11,6.895,6.905,6.895,6.895,BOB
2020-05-12,6.895,6.905,6.895,6.9,BOB
2020-05-13,6.895,6.905,6.895,6.905,BOB
2020-05-14,6.895,6.905,6.895,6.895,BOB
2020-05-15,6.895,6.905,6.895,6.9,BOB
2020-05-18,6.895,6.905,6.895,6.905,BOB
2020-05-19,6.905,6.905,6.895,6.905,BOB
2020-05-20,6.905,6.905,6.895,6.905,BOB
2020-05-21,6.905,6.905,6.895,6.905,BOB
2020-05-22,6.905,6.905,6.895,6.905,BOB
2020-05-25,6.905,6.915,6.905,6.915,BOB
2020-05-26,6.915,6.915,6.9,6.905,BOB
2020-05-27,6.905,6.915,6.905,6.905,BOB
2020-05-28,6.905,6.915,6.905,6.905,BOB
2020-05-29,6.905,6.905,6.895,6.905,BOB
2020-06-01,6.905,6.935,6.905,6.925,BOB
2020-06-02,6.905,6.915,6.905,6.91,BOB
2020-06-03,6.905,6.915,6.905,6.905,BOB
2020-06-04,6.91,6.92,6.905,6.915,BOB
2020-06-05,6.915,6.92,6.905,6.915,BOB
2020-06-08,6.915,6.915,6.905,6.915,BOB
2020-06-09,6.915,6.915,6.905,6.91,BOB
2020-06-10,6.905,6.915,6.905,6.905,BOB
2020-06-11,6.905,6.915,6.905,6.905,BOB
2020-06-12,6.905,6.915,6.905,6.905,BOB
2020-06-15,6.905,6.915,6.905,6.905,BOB
2020-06-16,6.905,6.915,6.895,6.915,BOB
2020-06-17,6.915,6.92,6.905,6.905,BOB
2020-06-18,6.905,6.915,6.905,6.91,BOB
2020-06-19,6.905,6.92,6.905,6.915,BOB
2020-06-22,6.915,6.915,6.905,6.915,BOB
2020-06-23,6.915,6.915,6.905,6.905,BOB
2020-06-24,6.905,6.915,6.905,6.905,BOB
2020-06-25,6.905,6.915,6.905,6.915,BOB
2020-06-26,6.915,6.915,6.905,6.915,BOB
2020-06-29,6.915,6.915,6.905,6.905,BOB
2020-06-30,6.905,6.915,6.905,6.905,BOB
2020-07-01,6.905,6.915,6.905,6.915,BOB
2020-07-02,6.92,6.925,6.905,6.915,BOB
2020-07-03,6.915,6.915,6.905,6.905,BOB
2020-07-06,6.905,6.915,6.905,6.905,BOB
2020-07-07,6.91,6.915,6.905,6.915,BOB
2020-07-08,6.915,6.915,6.905,6.905,BOB
2020-07-09,6.915,6.915,6.905,6.905,BOB
2020-07-10,6.905,6.915,6.905,6.915,BOB
2020-07-13,6.915,6.915,6.905,6.905,BOB
2020-07-14,6.905,6.915,6.895,6.915,BOB
2020-07-15,6.915,6.915,6.905,6.905,BOB
2020-07-16,6.905,6.905,6.905,6.905,BOB
2020-07-17,6.905,6.905,6.895,6.905,BOB
2020-07-20,6.905,6.905,6.895,6.905,BOB
2020-07-21,6.905,6.905,6.905,6.905,BOB
2020-07-22,6.905,6.905,6.905,6.905,BOB
2020-07-23,6.905,6.905,6.905,6.905,BOB
2020-07-24,6.905,6.905,6.905,6.905,BOB
2020-07-27,6.905,6.905,6.905,6.905,BOB
2020-07-28,6.905,6.925,6.905,6.92,BOB
2020-07-29,6.92,6.92,6.905,6.905,BOB
2020-07-30,6.905,6.915,6.905,6.915,BOB
2020-07-31,6.915,6.915,6.905,6.905,BOB
2020-08-03,6.905,6.915,6.905,6.91,BOB
2020-08-04,6.915,6.915,6.905,6.905,BOB
2020-08-05,6.905,6.91,6.905,6.905,BOB
2020-08-06,6.905,6.905,6.905,6.905,BOB
2020-08-07,6.905,6.905,6.905,6.905,BOB
2020-08-10,6.905,6.905,6.895,6.895,BOB
2020-08-11,6.895,6.905,6.895,6.905,BOB
2020-08-12,6.905,6.905,6.905,6.905,BOB
2020-08-13,6.905,6.915,6.895,6.905,BOB
2020-08-14,6.905,6.905,6.895,6.895,BOB
2020-08-17,6.895,6.905,6.895,6.905,BOB
2020-08-18,6.905,6.905,6.895,6.895,BOB
2020-08-19,6.895,6.905,6.895,6.905,BOB
2020-08-20,6.905,6.905,6.9,6.905,BOB
2020-08-21,6.905,6.905,6.905,6.905,BOB
2020-08-24,6.905,6.905,6.895,6.905,BOB
2020-08-25,6.895,6.905,6.895,6.905,BOB
2020-08-26,6.905,6.905,6.905,6.905,BOB
2020-08-27,6.905,6.905,6.895,6.895,BOB
2020-08-28,6.895,6.905,6.895,6.895,BOB
2020-08-31,6.895,6.905,6.895,6.905,BOB
2020-09-01,6.905,6.915,6.905,6.905,BOB
2020-09-02,6.905,6.905,6.905,6.905,BOB
2020-09-03,6.905,6.915,6.905,6.915,BOB
2020-09-04,6.915,6.915,6.9,6.905,BOB
2020-09-07,6.905,6.905,6.905,6.905,BOB
2020-09-08,6.905,6.905,6.905,6.905,BOB
2020-09-09,6.905,6.905,6.905,6.905,BOB
2020-09-10,6.905,6.905,6.905,6.905,BOB
2020-09-11,6.905,6.905,6.905,6.905,BOB
2020-09-14,6.905,6.915,6.9,6.905,BOB
2020-09-15,6.905,6.905,6.895,6.9,BOB
2020-09-16,6.895,6.905,6.895,6.905,BOB
2020-09-17,6.905,6.905,6.905,6.905,BOB
2020-09-18,6.905,6.905,6.905,6.905,BOB
2020-09-21,6.905,6.905,6.905,6.905,BOB
2020-09-22,6.905,6.905,6.895,6.895,BOB
2020-09-23,6.895,6.905,6.895,6.905,BOB
2020-09-24,6.905,6.905,6.895,6.905,BOB
2020-09-25,6.905,6.905,6.905,6.905,BOB
2020-09-28,6.905,6.905,6.905,6.905,BOB
2020-09-29,6.905,6.905,6.905,6.905,BOB
2020-09-30,6.905,6.905,6.905,6.905,BOB
2020-10-01,6.905,6.905,6.905,6.905,BOB
2020-10-02,6.905,6.905,6.905,6.905,BOB
2020-10-05,6.905,6.905,6.905,6.905,BOB
2020-10-06,6.905,6.905,6.905,6.905,BOB
2020-10-07,6.905,6.905,6.895,6.895,BOB
2020-10-08,6.895,6.905,6.895,6.905,BOB
2020-10-09,6.905,6.92,6.9,6.915,BOB
2020-10-12,6.91,6.91,6.91,6.86,BOB
2020-10-13,6.935,6.94,6.92,6.935,BOB
2020-10-14,6.935,6.935,6.9,6.925,BOB
2020-10-15,6.925,6.93,6.895,6.915,BOB
2020-10-16,6.915,6.925,6.9,6.905,BOB
2020-10-19,6.905,6.92,6.89,6.895,BOB
2020-10-20,6.895,6.925,6.895,6.92,BOB
2020-10-21,6.91,6.935,6.9,6.915,BOB
2020-10-22,6.915,6.925,6.89,6.91,BOB
2020-10-23,6.895,6.915,6.89,6.905,BOB
2020-10-26,6.905,6.905,6.905,6.905,BOB
2020-10-27,6.905,6.91,6.895,6.895,BOB
2020-10-28,6.895,6.905,6.895,6.905,BOB
2020-10-29,6.905,6.925,6.905,6.92,BOB
2020-10-30,6.91,6.925,6.905,6.92,BOB
2020-11-02,6.915,6.925,6.9,6.905,BOB
2020-11-03,6.905,6.905,6.905,6.905,BOB
2020-11-04,6.9,6.915,6.88,6.895,BOB
2020-11-05,6.895,6.895,6.895,6.895,BOB
2020-11-06,6.895,6.895,6.895,6.895,BOB
2020-11-09,6.895,6.905,6.89,6.895,BOB
2020-11-10,6.905,6.905,6.895,6.895,BOB
2020-11-11,6.895,6.905,6.895,6.9,BOB
2020-11-12,6.905,6.915,6.885,6.9,BOB
2020-11-13,6.895,6.9,6.89,6.895,BOB
2020-11-16,6.895,6.905,6.895,6.905,BOB
2020-11-17,6.905,6.93,6.9,6.925,BOB
2020-11-18,6.93,6.93,6.89,6.895,BOB
2020-11-19,6.895,6.905,6.88,6.885,BOB
2020-11-20,6.885,6.895,6.885,6.895,BOB
2020-11-23,6.895,6.905,6.895,6.905,BOB
2020-11-24,6.905,6.905,6.895,6.895,BOB
2020-11-25,6.895,6.905,6.895,6.895,BOB
2020-11-26,6.895,6.905,6.895,6.905,BOB
2020-11-27,6.905,6.91,6.895,6.895,BOB
2020-11-30,6.895,6.905,6.895,6.905,BOB
2020-12-01,6.905,6.91,6.89,6.895,BOB
2020-12-02,6.895,6.91,6.895,6.905,BOB
2020-12-03,6.905,6.92,6.89,6.905,BOB
2020-12-04,6.895,6.91,6.875,6.875,BOB
2020-12-07,6.875,6.905,6.865,6.875,BOB
2020-12-08,6.875,6.925,6.875,6.915,BOB
2020-12-09,6.885,6.885,6.875,6.885,BOB
2020-12-10,6.885,6.89,6.865,6.865,BOB
